date,nhs_name,sgtf,other,perc,t,n
2020-10-01,East of England,12,202,0.056074766355140186,1,214
2020-10-01,London,40,749,0.050697084917617236,1,789
2020-10-01,Midlands,14,938,0.014705882352941176,1,952
2020-10-01,North East and Yorkshire,52,2574,0.019801980198019802,1,2626
2020-10-01,North West,63,2820,0.021852237252861603,1,2883
2020-10-01,South East,18,265,0.0636042402826855,1,283
2020-10-01,South West,10,249,0.03861003861003861,1,259
2020-10-02,East of England,14,163,0.07909604519774012,2,177
2020-10-02,London,25,536,0.044563279857397504,2,561
2020-10-02,Midlands,12,1010,0.011741682974559686,2,1022
2020-10-02,North East and Yorkshire,32,2738,0.011552346570397111,2,2770
2020-10-02,North West,65,2699,0.023516642547033284,2,2764
2020-10-02,South East,16,316,0.04819277108433735,2,332
2020-10-02,South West,12,240,0.047619047619047616,2,252
2020-10-03,East of England,3,94,0.030927835051546393,3,97
2020-10-03,London,8,243,0.03187250996015936,3,251
2020-10-03,Midlands,8,543,0.014519056261343012,3,551
2020-10-03,North East and Yorkshire,43,2180,0.019343229869545658,3,2223
2020-10-03,North West,42,1911,0.021505376344086023,3,1953
2020-10-03,South East,7,134,0.04964539007092199,3,141
2020-10-03,South West,6,135,0.0425531914893617,3,141
2020-10-04,East of England,6,119,0.048,4,125
2020-10-04,London,21,431,0.046460176991150445,4,452
2020-10-04,Midlands,8,668,0.011834319526627219,4,676
2020-10-04,North East and Yorkshire,42,2479,0.016660055533518445,4,2521
2020-10-04,North West,42,2347,0.017580577647551276,4,2389
2020-10-04,South East,13,204,0.059907834101382486,4,217
2020-10-04,South West,11,163,0.06321839080459771,4,174
2020-10-05,East of England,5,189,0.02577319587628866,5,194
2020-10-05,London,34,506,0.06296296296296296,5,540
2020-10-05,Midlands,24,1380,0.017094017094017096,5,1404
2020-10-05,North East and Yorkshire,61,2719,0.02194244604316547,5,2780
2020-10-05,North West,74,3241,0.022322775263951735,5,3315
2020-10-05,South East,16,238,0.06299212598425197,5,254
2020-10-05,South West,8,223,0.03463203463203463,5,231
2020-10-06,East of England,29,346,0.07733333333333334,6,375
2020-10-06,London,41,832,0.046964490263459335,6,873
2020-10-06,Midlands,16,1345,0.011756061719324026,6,1361
2020-10-06,North East and Yorkshire,60,3138,0.01876172607879925,6,3198
2020-10-06,North West,60,3356,0.01756440281030445,6,3416
2020-10-06,South East,15,469,0.030991735537190084,6,484
2020-10-06,South West,17,445,0.0367965367965368,6,462
2020-10-07,East of England,31,342,0.08310991957104558,7,373
2020-10-07,London,50,742,0.06313131313131314,7,792
2020-10-07,Midlands,17,1507,0.01115485564304462,7,1524
2020-10-07,North East and Yorkshire,61,3313,0.018079430942501484,7,3374
2020-10-07,North West,72,3325,0.021195172210774212,7,3397
2020-10-07,South East,22,524,0.040293040293040296,7,546
2020-10-07,South West,27,554,0.04647160068846816,7,581
2020-10-08,East of England,25,341,0.06830601092896176,8,366
2020-10-08,London,45,899,0.04766949152542373,8,944
2020-10-08,Midlands,24,1297,0.018168054504163512,8,1321
2020-10-08,North East and Yorkshire,58,2825,0.020117932708983696,8,2883
2020-10-08,North West,50,2776,0.017692852087756547,8,2826
2020-10-08,South East,26,564,0.04406779661016949,8,590
2020-10-08,South West,12,523,0.022429906542056073,8,535
2020-10-09,East of England,8,149,0.050955414012738856,9,157
2020-10-09,London,30,339,0.08130081300813008,9,369
2020-10-09,Midlands,13,824,0.015531660692951015,9,837
2020-10-09,North East and Yorkshire,42,1810,0.02267818574514039,9,1852
2020-10-09,North West,40,1765,0.0221606648199446,9,1805
2020-10-09,South East,8,136,0.05555555555555555,9,144
2020-10-09,South West,11,212,0.04932735426008968,9,223
2020-10-10,London,4,63,0.05970149253731343,10,67
2020-10-10,Midlands,6,394,0.015,10,400
2020-10-10,North East and Yorkshire,38,1515,0.02446877012234385,10,1553
2020-10-10,North West,22,1592,0.013630731102850062,10,1614
2020-10-10,South East,3,45,0.0625,10,48
2020-10-10,South West,1,64,0.015384615384615385,10,65
2020-10-11,East of England,2,61,0.031746031746031744,11,63
2020-10-11,London,15,270,0.05263157894736842,11,285
2020-10-11,Midlands,10,406,0.02403846153846154,11,416
2020-10-11,North East and Yorkshire,25,1566,0.01571338780641106,11,1591
2020-10-11,North West,29,2289,0.012510785159620362,11,2318
2020-10-11,South East,3,119,0.02459016393442623,11,122
2020-10-11,South West,6,142,0.04054054054054054,11,148
2020-10-12,East of England,10,214,0.044642857142857144,12,224
2020-10-12,London,28,609,0.04395604395604396,12,637
2020-10-12,Midlands,27,1631,0.016284680337756333,12,1658
2020-10-12,North East and Yorkshire,54,2879,0.018411183088987385,12,2933
2020-10-12,North West,52,3596,0.01425438596491228,12,3648
2020-10-12,South East,13,249,0.04961832061068702,12,262
2020-10-12,South West,14,436,0.03111111111111111,12,450
2020-10-13,East of England,18,440,0.039301310043668124,13,458
2020-10-13,London,72,982,0.0683111954459203,13,1054
2020-10-13,Midlands,21,1566,0.013232514177693762,13,1587
2020-10-13,North East and Yorkshire,67,3017,0.02172503242542153,13,3084
2020-10-13,North West,53,3216,0.01621290914652799,13,3269
2020-10-13,South East,19,524,0.034990791896869246,13,543
